"","Domain","Phylum","Class","Order","Family","Genus","Species"
"OTU7621","bacteria","chloroflexi","ktedonobacteria","ktedonobacterales","ktedonobacteraceae","ktedonobacter","ktedonobacter spp."
"OTU7622","bacteria","firmicutes","bacilli","bacillales","bacillaceae","bacillus","bacillus sp."
"OTU7623","bacteria","proteobacteria","betaproteobacteria","betaproteobacteria","betaproteobacteria","proteinimicrobium","proteinimicrobium ihbtica"
"OTU7624","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","beijerinckiaceae","methylocella","methylocella spp."
"OTU7625","bacteria","actinobacteria","actinobacteria","actinomycetales","geodermatophilaceae","blastococcus","blastococcus spp."
"OTU7626","bacteria","verrucomicrobia","verrucomicrobiae","verrucomicrobiales","verrucomicrobiaceae","prosthecobacter","prosthecobacter spp."
"OTU7627","bacteria","proteobacteria","gammaproteobacteria","gammaproteobacteria","gammaproteobacteria","candidatus nardonella","endosymbiont of sphenophorus levis"
"OTU7628","bacteria","verrucomicrobia","opitutae","opitutales","opitutaceae","opitutus","opitutus spp."
"OTU7629","bacteria","gemmatimonadetes","gemmatimonadetes","gemmatimonadales","gemmatimonadaceae","gemmatimonas","gemmatimonas spp."
"OTU7630","bacteria","actinobacteria","actinobacteria","solirubrobacterales","solirubrobacteraceae","solirubrobacter","solirubrobacter spp."
"OTU7631","bacteria","firmicutes","bacilli","bacillales","bacillaceae","bacillus","bacillus spp."
"OTU7632","bacteria","verrucomicrobia","verrucomicrobiae","verrucomicrobiales","verrucomicrobia subdivision 3","pedosphaera","pedosphaera spp."
"OTU7633","bacteria","firmicutes","clostridia","clostridiales","clostridiales family xvii. incertae sedis","thermaerobacter","thermaerobacter spp."
"OTU7634","bacteria","proteobacteria","alphaproteobacteria","rickettsiales","rickettsiales","caedibacter","caedibacter spp."
"OTU7635","bacteria","proteobacteria","deltaproteobacteria","desulfovibrionales","desulfovibrionaceae","desulfovibrio","desulfovibrio sp."
"OTU7636","bacteria","proteobacteria","deltaproteobacteria","desulfobacterales","desulfobulbaceae","desulfotalea","desulfotalea spp."
"OTU7637","bacteria","proteobacteria","gammaproteobacteria","legionellales","coxiellaceae","aquicella","aquicella spp."
"OTU7638","bacteria","proteobacteria","betaproteobacteria","burkholderiales","burkholderiaceae","cupriavidus","cupriavidus spp."
"OTU7639","bacteria","firmicutes","negativicutes","selenomonadales","veillonellaceae","selenomonas","selenomonas spp."
"OTU7640","bacteria","proteobacteria","deltaproteobacteria","desulfuromonadales","pelobacteraceae","pelobacter","pelobacter spp."
"OTU7641","bacteria","actinobacteria","actinobacteria","acidimicrobiales","acidimicrobiaceae","ferrimicrobium","ferrimicrobium spp."
"OTU7642","bacteria","proteobacteria","alphaproteobacteria","rickettsiales","anaplasmataceae","ehrlichia","ehrlichia sp."
"OTU7643","bacteria","acidobacteria","holophagae","holophagales","holophagaceae","holophaga","holophaga spp."
"OTU7644","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","chitinophagaceae","niastella","niastella sp."
"OTU7645","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","hyphomicrobiaceae","hyphomicrobium","hyphomicrobium spp."
"OTU7646","bacteria","proteobacteria","deltaproteobacteria","desulfuromonadales","pelobacteraceae","pelobacter","pelobacter spp."
"OTU7647","bacteria","chlamydiae","chlamydiia","chlamydiales","chlamydiaceae","chlamydia","chlamydia spp."
"OTU7648","archaea","thaumarchaeota","thaumarchaeota","nitrososphaerales","nitrososphaeraceae","candidatus nitrososphaera","candidatus nitrososphaera"
"OTU7649","bacteria","actinobacteria","actinobacteria","solirubrobacterales","solirubrobacteraceae","solirubrobacter","solirubrobacter spp."
"OTU7650","bacteria","actinobacteria","actinobacteria","actinomycetales","actinomycetaceae","actinomyces","actinomyces spp."
"OTU7651","bacteria","actinobacteria","actinobacteria","gaiellales","gaiellaceae","gaiella","gaiella spp."
"OTU7652","bacteria","firmicutes","clostridia","clostridiales","clostridiaceae","clostridium","clostridium spp."
"OTU7653","bacteria","proteobacteria","alphaproteobacteria","sphingomonadales","sphingomonadaceae","kaistobacter","kaistobacter spp."
"OTU7654","bacteria","proteobacteria","alphaproteobacteria","alphaproteobacteria","alphaproteobacteria","candidatus pelagibacter","uncultured candidatus pelagibacter sp."
"OTU7655","bacteria","proteobacteria","gammaproteobacteria","oceanospirillales","alcanivoracaceae","alcanivorax","alcanivorax dieselolei"
"OTU7656","bacteria","firmicutes","bacilli","bacillales","paenibacillaceae","brevibacillus","brevibacillus levickii"
"OTU7657","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","phyllobacteriaceae","mesorhizobium","mesorhizobium spp."
"OTU7658","bacteria","proteobacteria","betaproteobacteria","burkholderiales","burkholderiaceae","burkholderia","burkholderia spp."
"OTU7659","bacteria","actinobacteria","actinobacteria","actinomycetales","streptomycetaceae","streptomyces","streptomyces sp."
"OTU7660","bacteria","chloroflexi","anaerolineae","anaerolineales","anaerolineaceae","levilinea","levilinea spp."
"OTU7661","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","bradyrhizobiaceae","rhodopseudomonas","rhodopseudomonas spp."
"OTU7662","bacteria","acidobacteria","holophagae","holophagales","holophagaceae","holophaga","holophaga spp."
"OTU7663","bacteria","chloroflexi","thermomicrobia","sphaerobacterales","sphaerobacteraceae","sphaerobacter","sphaerobacter spp."
"OTU7664","bacteria","acidobacteria","acidobacteriia","acidobacteriales","acidobacteriaceae","acidobacterium","acidobacterium spp."
"OTU7665","bacteria","proteobacteria","deltaproteobacteria","desulfuromonadales","geobacteraceae","geobacter","geobacter spp."
"OTU7666","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","sphingobacteriaceae","pedobacter","pedobacter terrae"
"OTU7667","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","planctomyces","planctomyces spp."
"OTU7668","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","blastopirellula","blastopirellula spp."
"OTU7669","bacteria","actinobacteria","actinobacteria","acidimicrobiales","acidimicrobiaceae","aciditerrimonas","aciditerrimonas spp."
"OTU7670","bacteria","firmicutes","erysipelotrichia","erysipelotrichales","erysipelotrichaceae","erysipelatoclostridium","clostridium innocuum"
"OTU7671","bacteria","bacteroidetes","bacteroidia","bacteroidales","bacteroidaceae","bacteroides","bacteroides spp."
"OTU7672","bacteria","firmicutes","bacilli","bacillales","bacillaceae","virgibacillus","virgibacillus spp."
"OTU7673","bacteria","firmicutes","bacilli","bacillales","bacillaceae","bacillus","bacillus spp."
"OTU7674","bacteria","firmicutes","bacilli","bacillales","bacillaceae","bacillus","bacillus spp."
"OTU7675","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","bradyrhizobiaceae","rhodopseudomonas","rhodopseudomonas spp."
"OTU7676","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","gemmata","gemmata spp."
"OTU7677","bacteria","gemmatimonadetes","gemmatimonadetes","gemmatimonadales","gemmatimonadaceae","gemmatimonas","gemmatimonas spp."
"OTU7678","bacteria","firmicutes","clostridia","clostridiales","clostridiaceae","clostridium","clostridium spp."
"OTU7679","bacteria","firmicutes","clostridia","clostridiales","peptococcaceae","desulfotomaculum","desulfotomaculum sp."
"OTU7680","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","sphingobacteriaceae","sphingobacterium","sphingobacterium sp."
"OTU7681","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","gemmata","gemmata sp."
"OTU7682","bacteria","acidobacteria","holophagae","holophagales","holophagaceae","holophaga","holophaga spp."
"OTU7683","bacteria","actinobacteria","actinobacteria","actinomycetales","streptomycetaceae","streptomyces","streptomyces sp."
"OTU7684","bacteria","proteobacteria","gammaproteobacteria","oceanospirillales","oceanospirillaceae","marinomonas","marinomonas mediterranea"
"OTU7685","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","chitinophagaceae","chitinophaga","chitinophaga spp."
"OTU7686","bacteria","candidatus saccharibacteria","candidatus saccharibacteria","candidatus saccharibacteria","candidatus saccharibacteria","candidatus saccharimonas","candidatus saccharimonas aalborgensis"
"OTU7687","bacteria","elusimicrobia","elusimicrobia","elusimicrobiales","elusimicrobiaceae","elusimicrobium","elusimicrobium spp."
"OTU7688","bacteria","chlamydiae","chlamydiia","chlamydiales","parachlamydiaceae","parachlamydia","parachlamydia acanthamoebae"
"OTU7689","bacteria","proteobacteria","alphaproteobacteria","rickettsiales","anaplasmataceae","ehrlichia","ehrlichia chaffeensis"
"OTU7690","bacteria","proteobacteria","gammaproteobacteria","legionellales","legionellaceae","legionella","legionella spp."
"OTU7691","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","bradyrhizobiaceae","rhodopseudomonas","rhodopseudomonas spp."
"OTU7692","bacteria","proteobacteria","betaproteobacteria","burkholderiales","oxalobacteraceae","herminiimonas","herminiimonas saxobsidens"
"OTU7693","bacteria","proteobacteria","gammaproteobacteria","pseudomonadales","pseudomonadaceae","pseudomonas","pseudomonas sp."
"OTU7694","bacteria","proteobacteria","deltaproteobacteria","myxococcales","cystobacteraceae","cystobacter","cystobacter spp."
"OTU7695","bacteria","actinobacteria","actinobacteria","actinomycetales","nakamurellaceae","nakamurella","nakamurella spp."
"OTU7696","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","sphingobacteriaceae","sphingobacterium","sphingobacterium sp."
"OTU7697","bacteria","proteobacteria","deltaproteobacteria","myxococcales","kofleriaceae","haliangium","haliangium spp."
"OTU7698","bacteria","verrucomicrobia","verrucomicrobiae","verrucomicrobiales","verrucomicrobia subdivision 3","pedosphaera","pedosphaera spp."
"OTU7699","bacteria","armatimonadetes","armatimonadetes","armatimonadetes","armatimonadetes","fimbriimonas","fimbriimonas ginsengisoli"
"OTU7700","bacteria","proteobacteria","gammaproteobacteria","legionellales","legionellaceae","legionella","legionella spp."
"OTU7701","bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillales","reyranella","reyranella massiliensis"
"OTU7702","bacteria","firmicutes","bacilli","bacillales","alicyclobacillaceae","alicyclobacillus","alicyclobacillus spp."
"OTU7703","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","rhizobiales","nordella","nordella oligomobilis"
"OTU7704","bacteria","proteobacteria","gammaproteobacteria","oceanospirillales","oceanospirillaceae","oceaniserpentilla","oceaniserpentilla spp."
"OTU7705","bacteria","actinobacteria","actinobacteria","actinomycetales","sanguibacteraceae","sanguibacter","sanguibacter inulinus"
"OTU7706","bacteria","gemmatimonadetes","gemmatimonadetes","gemmatimonadales","gemmatimonadaceae","gemmatimonas","gemmatimonas spp."
"OTU7707","bacteria","proteobacteria","deltaproteobacteria","myxococcales","anaeromyxobacteraceae","anaeromyxobacter","anaeromyxobacter dehalogenans"
"OTU7708","bacteria","proteobacteria","gammaproteobacteria","legionellales","legionellaceae","legionella","legionella spp."
"OTU7709","bacteria","actinobacteria","actinobacteria","rubrobacterales","rubrobacteraceae","rubrobacter","rubrobacter spp."
"OTU7710","bacteria","proteobacteria","deltaproteobacteria","desulfovibrionales","desulfovibrionaceae","desulfovibrio","desulfovibrio defluvii"
"OTU7711","bacteria","planctomycetes","planctomycetia","candidatus brocadiales","candidatus brocadiaceae","candidatus kuenenia","uncultured candidatus kuenenia sp."
"OTU7712","bacteria","actinobacteria","actinobacteria","actinomycetales","micromonosporaceae","micromonospora","micromonospora spp."
"OTU7713","bacteria","firmicutes","bacilli","bacillales","paenibacillaceae","paenibacillus","paenibacillus sp."
"OTU7714","bacteria","nitrospirae","nitrospira","nitrospirales","nitrospiraceae","nitrospira","nitrospira spp."
"OTU7715","bacteria","gemmatimonadetes","gemmatimonadetes","gemmatimonadales","gemmatimonadaceae","gemmatimonas","gemmatimonas spp."
"OTU7716","bacteria","proteobacteria","gammaproteobacteria","pseudomonadales","pseudomonadaceae","pseudomonas","pseudomonas mandelii"
"OTU7717","bacteria","actinobacteria","actinobacteria","acidimicrobiales","acidimicrobiaceae","aciditerrimonas","aciditerrimonas spp."
"OTU7718","bacteria","bacteroidetes","flavobacteriia","flavobacteriales","flavobacteriaceae","flavobacterium","flavobacterium denitrificans"
"OTU7719","bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","acetobacteraceae","stella","stella spp."
"OTU7720","bacteria","proteobacteria","betaproteobacteria","burkholderiales","oxalobacteraceae","massilia","massilia spp."
"OTU7721","bacteria","acidobacteria","acidobacteriia","acidobacteriales","acidobacteriaceae","acidobacterium","acidobacterium spp."
"OTU7722","bacteria","actinobacteria","actinobacteria","actinomycetales","nocardioidaceae","nocardioides","nocardioides spp."
"OTU7723","bacteria","firmicutes","bacilli","bacillales","paenibacillaceae","paenibacillus","paenibacillus contaminans"
"OTU7724","bacteria","actinobacteria","actinobacteria","actinomycetales","nocardiaceae","rhodococcus","rhodococcus spp."
"OTU7725","bacteria","firmicutes","bacilli","bacillales","paenibacillaceae","paenibacillus","paenibacillus sp."
"OTU7726","bacteria","verrucomicrobia","verrucomicrobiae","verrucomicrobiales","verrucomicrobiaceae","prosthecobacter","prosthecobacter spp."
"OTU7727","bacteria","proteobacteria","deltaproteobacteria","desulfuromonadales","pelobacteraceae","pelobacter","pelobacter spp."
"OTU7728","bacteria","proteobacteria","deltaproteobacteria","myxococcales","kofleriaceae","haliangium","haliangium spp."
"OTU7729","bacteria","proteobacteria","deltaproteobacteria","myxococcales","polyangiaceae","chondromyces","chondromyces apiculatus"
"OTU7730","bacteria","verrucomicrobia","verrucomicrobiae","verrucomicrobiales","verrucomicrobiaceae","verrucomicrobium","verrucomicrobium spinosum"
"OTU7731","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","methylobacteriaceae","microvirga","microvirga spp."
"OTU7732","bacteria","chlamydiae","chlamydiia","chlamydiales","chlamydiaceae","chlamydia","chlamydia spp."
"OTU7733","bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","acetobacteraceae","stella","stella spp."
"OTU7734","bacteria","firmicutes","bacilli","bacillales","bacillales","trigonala","trigonala elaeagnus"
"OTU7735","bacteria","acidobacteria","holophagae","holophagales","holophagaceae","holophaga","holophaga spp."
"OTU7736","bacteria","actinobacteria","actinobacteria","solirubrobacterales","conexibacteraceae","conexibacter","conexibacter spp."
"OTU7737","bacteria","actinobacteria","actinobacteria","actinomycetales","intrasporangiaceae","terrabacter","terrabacter sp."
"OTU7738","bacteria","chloroflexi","dehalococcoidia","dehalococcoidales","dehalococcoidaceae","dehalococcoides","dehalococcoides spp."
"OTU7739","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","rhodopirellula","rhodopirellula spp."
"OTU7740","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","gemmata","gemmata sp."
"OTU7741","bacteria","proteobacteria","betaproteobacteria","burkholderiales","comamonadaceae","curvibacter","curvibacter spp."
"OTU7742","bacteria","proteobacteria","betaproteobacteria","nitrosomonadales","nitrosomonadaceae","nitrosovibrio","nitrosovibrio spp."
"OTU7743","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","gemmata","gemmata sp."
"OTU7744","bacteria","proteobacteria","deltaproteobacteria","syntrophobacterales","syntrophaceae","syntrophus","syntrophus spp."
"OTU7745","bacteria","proteobacteria","deltaproteobacteria","myxococcales","polyangiaceae","byssovorax","byssovorax spp."
"OTU7746","bacteria","actinobacteria","actinobacteria","actinomycetales","nakamurellaceae","nakamurella","nakamurella spp."
"OTU7747","bacteria","chloroflexi","thermomicrobia","sphaerobacterales","sphaerobacteraceae","sphaerobacter","sphaerobacter spp."
"OTU7748","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","gemmata","gemmata spp."
"OTU7749","bacteria","proteobacteria","gammaproteobacteria","xanthomonadales","xanthomonadaceae","stenotrophomonas","stenotrophomonas sp."
"OTU7750","bacteria","proteobacteria","gammaproteobacteria","legionellales","coxiellaceae","diplorickettsia","diplorickettsia sp."
"OTU7751","bacteria","proteobacteria","gammaproteobacteria","legionellales","coxiellaceae","coxiella","coxiella spp."
"OTU7752","bacteria","proteobacteria","deltaproteobacteria","desulfuromonadales","pelobacteraceae","pelobacter","pelobacter spp."
"OTU7753","bacteria","proteobacteria","deltaproteobacteria","desulfuromonadales","pelobacteraceae","pelobacter","pelobacter spp."
"OTU7754","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","gemmata","gemmata spp."
"OTU7755","bacteria","firmicutes","bacilli","bacillales","pasteuriaceae","pasteuria","pasteuria spp."
"OTU7756","bacteria","firmicutes","clostridia","clostridiales","clostridiaceae","clostridium","clostridium perfringens"
"OTU7757","bacteria","proteobacteria","deltaproteobacteria","myxococcales","anaeromyxobacteraceae","anaeromyxobacter","anaeromyxobacter spp."
"OTU7758","bacteria","proteobacteria","gammaproteobacteria","xanthomonadales","sinobacteraceae","steroidobacter","steroidobacter spp."
"OTU7759","bacteria","proteobacteria","deltaproteobacteria","syntrophobacterales","syntrophobacteraceae","desulfovirga","desulfovirga spp."
"OTU7760","bacteria","firmicutes","bacilli","bacillales","bacillaceae","paraliobacillus","paraliobacillus spp."
"OTU7761","bacteria","proteobacteria","deltaproteobacteria","myxococcales","polyangiaceae","polyangium","polyangium spp."
"OTU7762","bacteria","firmicutes","bacilli","bacillales","thermoactinomycetaceae","thermoflavimicrobium","thermoflavimicrobium spp."
"OTU7763","bacteria","firmicutes","bacilli","bacillales","alicyclobacillaceae","tumebacillus","tumebacillus sp."
"OTU7764","bacteria","actinobacteria","actinobacteria","solirubrobacterales","conexibacteraceae","conexibacter","conexibacter spp."
"OTU7765","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","phyllobacteriaceae","mesorhizobium","mesorhizobium spp."
"OTU7766","bacteria","proteobacteria","gammaproteobacteria","xanthomonadales","xanthomonadaceae","rhodanobacter","rhodanobacter spp."
"OTU7767","bacteria","chloroflexi","dehalococcoidia","dehalococcoidales","dehalococcoidaceae","dehalococcoides","dehalococcoides spp."
"OTU7768","bacteria","actinobacteria","actinobacteria","solirubrobacterales","conexibacteraceae","conexibacter","conexibacter spp."
"OTU7769","bacteria","proteobacteria","deltaproteobacteria","desulfuromonadales","pelobacteraceae","pelobacter","pelobacter spp."
"OTU7770","bacteria","actinobacteria","actinobacteria","acidimicrobiales","iamiaceae","iamia","iamia spp."
"OTU7771","bacteria","firmicutes","erysipelotrichia","erysipelotrichales","erysipelotrichaceae","erysipelothrix","erysipelothrix sp."
"OTU7772","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","planctomyces","planctomyces spp."
"OTU7773","fungi","ascomycota","dothideomycetes","dothideomycetes","zopfiaceae","didymocrea","didymocrea sadasivanii"
"OTU7774","bacteria","actinobacteria","actinobacteria","actinomycetales","motilibacteraceae","motilibacter","actinomycetales bacterium"
"OTU7775","bacteria","proteobacteria","deltaproteobacteria","deltaproteobacteria","deltaproteobacteria","candidatus babela","delta proteobacterium babl1"
"OTU7776","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","gemmata","gemmata sp."
"OTU7777","bacteria","proteobacteria","deltaproteobacteria","bdellovibrionales","bacteriovoracaceae","peredibacter","peredibacter spp."
"OTU7778","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","pirellula","pirellula spp."
"OTU7779","bacteria","proteobacteria","alphaproteobacteria","rhodospirillales","rhodospirillaceae","tistrella","tistrella spp."
"OTU7780","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","bradyrhizobiaceae","bradyrhizobium","bradyrhizobium spp."
"OTU7781","bacteria","firmicutes","clostridia","clostridiales","clostridiaceae","lutispora","lutispora thermophila"
"OTU7782","bacteria","proteobacteria","deltaproteobacteria","myxococcales","cystobacteraceae","stigmatella","stigmatella spp."
"OTU7783","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","zavarzinella","zavarzinella spp."
"OTU7784","bacteria","chloroflexi","dehalococcoidia","dehalococcoidales","dehalococcoidaceae","dehalococcoides","dehalococcoides spp."
"OTU7785","bacteria","chloroflexi","dehalococcoidia","dehalococcoidales","dehalococcoidaceae","dehalococcoides","dehalococcoides spp."
"OTU7786","bacteria","firmicutes","bacilli","bacillales","bacillaceae","bacillus","bacillus longiquaesitum"
"OTU7787","bacteria","proteobacteria","gammaproteobacteria","xanthomonadales","xanthomonadaceae","rhodanobacter","rhodanobacter sp."
"OTU7788","bacteria","proteobacteria","alphaproteobacteria","sphingomonadales","sphingomonadaceae","sphingomonas","sphingomonas spp."
"OTU7789","bacteria","proteobacteria","gammaproteobacteria","xanthomonadales","sinobacteraceae","steroidobacter","steroidobacter spp."
"OTU7790","bacteria","proteobacteria","alphaproteobacteria","rickettsiales","rickettsiales","candidatus odyssella","uncultured candidatus odyssella sp."
"OTU7791","bacteria","proteobacteria","deltaproteobacteria","deltaproteobacteria","deltaproteobacteria","candidatus babela","delta proteobacterium babl1"
"OTU7792","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","chitinophagaceae","chitinophaga","chitinophaga spp."
"OTU7793","bacteria","proteobacteria","deltaproteobacteria","bdellovibrionales","bdellovibrionaceae","bdellovibrio","bdellovibrio bacteriovorus"
"OTU7794","bacteria","acidobacteria","acidobacteriia","acidobacteriales","acidobacteriaceae","acidobacterium","acidobacterium spp."
"OTU7795","bacteria","bacteroidetes","bacteroidia","bacteroidales","bacteroidaceae","bacteroides","bacteroides spp."
"OTU7796","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","sphingobacteriaceae","pedobacter","pedobacter daejeonensis"
"OTU7797","bacteria","verrucomicrobia","verrucomicrobiae","verrucomicrobiales","verrucomicrobiaceae","prosthecobacter","prosthecobacter spp."
"OTU7798","bacteria","chloroflexi","thermomicrobia","sphaerobacterales","sphaerobacteraceae","sphaerobacter","sphaerobacter thermophilus"
"OTU7799","bacteria","bacteroidetes","bacteroidia","bacteroidales","porphyromonadaceae","petrimonas","petrimonas spp."
"OTU7800","bacteria","firmicutes","clostridia","halanaerobiales","halanaerobiaceae","halocella","halocella cellulosilytica"
"OTU7801","bacteria","bacteroidetes","flavobacteriia","flavobacteriales","flavobacteriaceae","flavobacterium","flavobacterium spp."
"OTU7802","bacteria","firmicutes","bacilli","bacillales","thermoactinomycetaceae","planifilum","planifilum sp."
"OTU7803","bacteria","proteobacteria","deltaproteobacteria","bdellovibrionales","bdellovibrionaceae","bdellovibrio","bdellovibrio exovorus"
"OTU7804","bacteria","bacteroidetes","bacteroidetes","bacteroidetes order ii. incertae sedis","rhodothermaceae","rubrivirga","rubrivirga marina"
"OTU7805","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","hyphomicrobiaceae","rhodoplanes","rhodoplanes spp."
"OTU7806","bacteria","firmicutes","clostridia","clostridiales","clostridiaceae","clostridium","clostridium spp."
"OTU7807","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","sphingobacteriaceae","olivibacter","olivibacter terrae"
"OTU7808","bacteria","gemmatimonadetes","gemmatimonadetes","gemmatimonadales","gemmatimonadaceae","gemmatimonas","gemmatimonas spp."
"OTU7809","bacteria","chloroflexi","thermomicrobia","sphaerobacterales","sphaerobacteraceae","sphaerobacter","sphaerobacter spp."
"OTU7810","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","singulisphaera","singulisphaera spp."
"OTU7811","bacteria","firmicutes","bacilli","bacillales","bacillales family x. incertae sedis","thermicanus","thermicanus aegyptius"
"OTU7812","bacteria","proteobacteria","deltaproteobacteria","bdellovibrionales","bacteriovoracaceae","bacteriovorax","bacteriovorax spp."
"OTU7813","bacteria","bacteroidetes","flavobacteriia","flavobacteriales","flavobacteriaceae","wenyingzhuangia","wenyingzhuangia sp."
"OTU7814","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","methylocystaceae","methylosinus","methylosinus spp."
"OTU7815","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","gemmata","gemmata spp."
"OTU7816","bacteria","firmicutes","clostridia","clostridiales","clostridiales family xvii. incertae sedis","thermaerobacter","thermaerobacter spp."
"OTU7817","bacteria","proteobacteria","betaproteobacteria","burkholderiales","burkholderiaceae","burkholderia","burkholderia spp."
"OTU7818","bacteria","firmicutes","clostridia","clostridiales","peptococcaceae","desulfitobacterium","desulfitobacterium spp."
"OTU7819","bacteria","proteobacteria","alphaproteobacteria","rickettsiales","rickettsiaceae","rickettsia","rickettsia spp."
"OTU7820","bacteria","firmicutes","clostridia","halanaerobiales","halanaerobiaceae","halocella","halocella cellulosilytica"
"OTU7821","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","bradyrhizobiaceae","bradyrhizobium","bradyrhizobium sp."
"OTU7822","bacteria","proteobacteria","gammaproteobacteria","oceanospirillales","saccharospirillaceae","saccharospirillum","saccharospirillum spp."
"OTU7823","bacteria","proteobacteria","gammaproteobacteria","xanthomonadales","xanthomonadaceae","stenotrophomonas","stenotrophomonas maltophilia"
"OTU7824","bacteria","actinobacteria","actinobacteria","solirubrobacterales","conexibacteraceae","conexibacter","conexibacter spp."
"OTU7825","bacteria","actinobacteria","actinobacteria","actinomycetales","microbacteriaceae","leucobacter","leucobacter spp."
"OTU7826","bacteria","actinobacteria","actinobacteria","actinomycetales","acidothermaceae","acidothermus","acidothermus spp."
"OTU7827","bacteria","chloroflexi","anaerolineae","anaerolineales","anaerolineaceae","bellilinea","bellilinea spp."
"OTU7828","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","planctomyces","planctomyces spp."
"OTU7829","bacteria","proteobacteria","alphaproteobacteria","rhizobiales","hyphomicrobiaceae","rhodoplanes","rhodoplanes spp."
"OTU7830","bacteria","proteobacteria","deltaproteobacteria","myxococcales","anaeromyxobacteraceae","anaeromyxobacter","anaeromyxobacter spp."
"OTU7831","bacteria","chloroflexi","chloroflexia","chloroflexales","chloroflexaceae","chloroflexus","chloroflexus spp."
"OTU7832","bacteria","acidobacteria","solibacteres","solibacterales","solibacteraceae","candidatus solibacter","uncultured solibacter sp."
"OTU7833","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","gemmata","gemmata spp."
"OTU7834","bacteria","cyanobacteria","cyanobacteria","chroococcales","chroococcales","cyanothece","cyanothece spp."
"OTU7835","bacteria","firmicutes","clostridia","clostridiales","heliobacteriaceae","heliobacterium","heliobacterium spp."
"OTU7836","bacteria","bacteroidetes","sphingobacteriia","sphingobacteriales","chitinophagaceae","chitinophaga","chitinophaga arvensicola"
"OTU7837","bacteria","actinobacteria","actinobacteria","actinomycetales","nocardioidaceae","nocardioides","nocardioides sp."
"OTU7838","bacteria","tenericutes","mollicutes","acholeplasmatales","acholeplasmataceae","candidatus phytoplasma","candidatus phytoplasma pyri"
"OTU7839","bacteria","proteobacteria","deltaproteobacteria","syntrophobacterales","syntrophaceae","syntrophus","syntrophus spp."
"OTU7840","bacteria","proteobacteria","betaproteobacteria","nitrosomonadales","nitrosomonadaceae","nitrosovibrio","nitrosovibrio spp."
"OTU7841","bacteria","actinobacteria","actinobacteria","solirubrobacterales","solirubrobacteraceae","solirubrobacter","solirubrobacter spp."
"OTU7842","bacteria","proteobacteria","deltaproteobacteria","syntrophobacterales","syntrophobacteraceae","desulfovirga","desulfovirga spp."
"OTU7843","bacteria","planctomycetes","planctomycetia","planctomycetales","planctomycetaceae","rhodopirellula","rhodopirellula spp."
"OTU7844","bacteria","firmicutes","bacilli","bacillales","paenibacillaceae","paenibacillus","paenibacillus sp."
"OTU7845","bacteria","proteobacteria","deltaproteobacteria","desulfuromonadales","pelobacteraceae","pelobacter","pelobacter spp."
"OTU7846","bacteria","proteobacteria","deltaproteobacteria","syntrophobacterales","syntrophaceae","desulfomonile","desulfomonile spp."
